Organization Name,Industries,Headquarters Location,Description,Estimated Revenue,Operating Status,Founded Date,Contact Email,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly visit growth,Visit Duration Growth,Patents Granted,Visit Duration
Nurix AI,"Artificial Intelligence (AI), Data Integration, Generative AI","Bengaluru, Karnataka, India",Custom Gen AI Solutions for Enterprises,—,Active,2024,hello@nurix.ai,—,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",1,Mukesh Bansal,11-50,1,Seed,"$27,500,000","$27,500,000",—,—,"1,529",7.83%,632.47%,—,564
Stan,Non-Fungible Token (NFT),"Bangalore, Karnataka, India",Stan is a blockchain-based esports fan engagement startup,—,Active,2022,—,—,Blockchain and Cryptocurrency,—,—,11-50,4,Seed,"$5,151,725","$7,342,379",—,—,"121,629",341.42%,425%,—,126
Sugar.fit,"Diabetes, Health Care, Health Diagnostics, Telehealth","Bengaluru, Karnataka, India",Sugar.fit is a healthtech startup that helps users manage and reverse diabetes.,$1B to $10B,Active,2021,—,—,Health Care,2,"Madan Somasundaram, Shivtosh Kumar",101-250,3,Early Stage Venture,"₹2,054,000,000","₹2,054,000,000",Growing,High,"549,347",144.59%,-23.56%,—,344
Groyyo,"B2B, Manufacturing","Haryana, Haryana, India",Groyyo is a B2B manufacturing and automation start-up.,$10M to $50M,Active,2021,(935).355.4703info@groyyo.com,—,"Manufacturing, Other",—,—,101-250,4,Early Stage Venture,"$32,600,000","$49,409,750",Growing,High,"1,342",1283.51%,420.34%,—,141
Turno,"Battery, Electric Vehicle, Financial Services, FinTech","Bengaluru, Karnataka, India",Turno is an automobile company that provides 3 wheeled electric vehicles and financing to customers.,$10M to $50M,Active,2022,sales@turno.club,—,"Energy, Financial Services, Transportation",2,"Hemanth Aluru, Sudhindra Reddy",101-250,3,Early Stage Venture,"$22,202,921","$22,202,921",Growing,—,"3,121",227.84%,1273.61%,—,989
River,"Automotive, Electric Vehicle, Manufacturing","Bengaluru, Karnataka, India",River is an electric vehicle startup building multi-utility scooters.,—,Active,2020,info@rideriver.com,—,"Manufacturing, Transportation",2,"Aravind Mani, Vipin George",51-100,5,Early Stage Venture,"$68,000,000","$68,000,000",—,—,"75,336",503.70%,-35.96%,—,146
abCoffee,"Coffee, Food and Beverage","Mumbai, Maharashtra, India",AbCoffee is a specialty coffee chain that makes high-quality coffee accessible to the masses.,$1M to $10M,Active,2022,—,—,Food and Beverage,1,Abhijeet Anand,101-250,2,Early Stage Venture,"$5,395,674","$5,395,674",Growing,High,"29,900",1511.86%,-89.55%,—,28
Onsurity,"Employee Benefits, Health Care, Health Insurance, InsurTech, Medical","Bengaluru, Karnataka, India",Onsurity is an employee healthcare platform that provides a monthly healthcare membership with group health insurance to businesses.,$1M to $10M,Active,2020,care@onsurity.com,—,"Administrative Services, Financial Services, Health Care",2,"Kulin Shah, Yogesh Agarwal",251-500,6,Early Stage Venture,"$66,108,291","$66,108,291",Growing,—,"43,866",-9.97%,34.31%,—,458
CheQ Digital,FinTech,"Bengaluru, Karnataka, India",CheQ Digital operates as a fintech startup.,$1M to $10M,Active,2022,—,—,Financial Services,—,—,11-50,2,Seed,"$16,414,680","$16,414,680",Growing,High,"909,337",132.95%,204.55%,—,"1,139"
Zyod,"Apparel, B2B, Fashion, Manufacturing","Gurgaon, Haryana, India",Zyod is a startup that provides apparel sourcing and manufacturing to fashion brands globally.,$100M to $500M,Active,2023,hello@zyod.com,—,"Clothing and Apparel, Design, Manufacturing, Other",—,—,1001-5000,3,Early Stage Venture,"$21,500,000","$21,500,000",Growing,High,368,-55.88%,976%,—,538
Niro,"Credit, Financial Services, FinTech, Lending","Bangalore, Karnataka, India",Niro is a fintech startup providing an embedded lending platform tailored for customizing credit products to suit consumer needs.,—,Active,2021,—,—,"Financial Services, Lending and Investments",2,"Aditya Kumar, Sankalp Mathur",101-250,4,Early Stage Venture,"$16,252,555","$18,752,555",—,—,"238,143",-7.76%,-44.09%,—,104
Wondrlab,Marketing,"Mumbai, Maharashtra, India",Wondrlab is India's Platform-first martech startup.,$1M to $10M,Active,2020,—,Seed,Sales and Marketing,3,"Rakesh Hinduja, Saurabh Varma, Vandana Verma",101-250,2,Growing,"$7,000,000","$7,000,000",Medium,Medium,"1,510",78.70%,87.50%,—,75
Vaaree,"E-Commerce, Home and Garden, Home Decor, Retail","Bangalore, Karnataka, India",Vaaree is a home furnishing and decor startup offering a wide range of home products.,$1M to $10M,Active,2022,help@vaaree.com,Seed,"Commerce and Shopping, Real Estate",3,"Garima Luthra, Pranav Arora, Varun Vohra",51-100,4,Growing,"$6,501,844","$6,501,844",High,High,"629,120",-8.84%,78.15%,—,269
Ayekart Fintech,"FinTech, Marketplace, Mobile Apps, Supply Chain Management","Mumbai, Maharashtra, India","Ayekart Fintech offers a digital marketplace for manufacturers, processors, and distributors.",$1M to $10M,Active,2020,milind@ayekart.com,Early Stage Venture,"Apps, Financial Services, Mobile, Software, Transportation",2,"Ashutosh Singh, Debarshi Dutta",101-250,5,Growing,"$10,631,379","$13,131,379",High,—,93,-97.69%,-49.33%,—,0
Mesa School of Business,"Education, Higher Education","Kormangala, Karnataka, India",Mesa School of Business is a business school for entrepreneurs and startup executives.,—,Active,2023,—,Seed,Education,—,—,1-10,1,Growing,"₹340,000,000","₹340,000,000",—,—,"70,694",17.94%,200.93%,—,325
Geniemode,"B2B, E-Commerce, Fashion, Furniture, Supply Chain Management","Gurgaon, Haryana, India",Geniemode is a B2B cross-border sourcing and supply chain startup.,$1M to $10M,Active,2021,info@geniemode.com,Early Stage Venture,"Clothing and Apparel, Consumer Goods, Design, Transportation",2,"Amit Sharma, Tanuj Gangwani",101-250,3,Growing,"$36,779,043","$36,779,043",—,—,"4,071",-0.68%,293.33%,—,59
Indkal Technologies,"Consumer Electronics, Electronics, Manufacturing","Bengaluru, Karnataka, India",Indkal Technologies is a manufacturing firm offering consumer-based electronic appliance design and production services.,—,Active,2020,—,Early Stage Venture,"Consumer Electronics, Hardware, Manufacturing",—,—,101-250,1,Growing,"₹3,000,000,000","₹3,000,000,000",High,High,"1,430",-47.04%,96.94%,—,709
Medial,"Professional Networking, Social Media","Bengaluru, Karnataka, India",Medial is a professional social media platform focused on the startup ecosystem of India.,—,Active,2023,help@medial.app,Seed,"Community and Lifestyle, Media and Entertainment, Professional Services",2,"Harsh Dwivedi, Niket Raj Dwivedi",1-10,2,—,"$620,000","$620,000",—,—,"17,432",-74.96%,203.31%,—,367
Celcius Logistics Solutions,"Logistics, Supply Chain Management","Mumbai, Maharashtra, India",Celcius Logistics Solutions operates as a cold-chain marketplace startup.,$10M to $50M,Active,2020,—,—,Transportation,3,"Arbind Jain, Rajneesh Raman, Swarup Bose",101-250,7,Growing,"$22,538,743","$22,538,743",High,—,"1,467",101.51%,-36.18%,—,344
Truva,"PropTech, Real Estate","Mumbai, Maharashtra, India",Truva operates as a proptech startup.,—,Active,2023,—,Seed,Real Estate,3,"Ankit Gupta, Monil Singhal, Puneet Arora",11-50,1,—,"₹251,800,000","₹251,800,000",—,—,398,-79.22%,-95.05%,—,15
Figr,"Information Technology, Product Design","Bengaluru, Karnataka, India",Figr uses AI to transform the product design process.,—,Active,2023,hi@figr.design,Seed,"Design, Information Technology",—,—,1-10,3,—,"$2,500,000","$2,500,000",—,—,"18,078",-23.29%,49.33%,—,448
Hyperface,"Banking, Financial Services, FinTech, Information Technology","Bangalore, Karnataka, India",Hyperface offers a banking-as-a-service platform to launch custom credit cards for businesses.,$1M to $10M,Active,2021,paulgregory0000@gmail.com,Seed,"Financial Services, Information Technology, Lending",2,"Aishwarya Jaishankar, Ramanathan RV",11-50,3,Growing,"$10,300,000","$10,300,000",—,—,—,—,—,—,—
truefan.life,"Celebrity, Media and Entertainment, Social Media Marketing","Gurgaon, Haryana, India",truefan.life is a celebrity-fan engagement startup.,Less than $1M,Active,2021,nimish@truefan.life,Early Stage Venture,"Media and Entertainment, Sales and Marketing",3,"Devender Bindal, Nevaid Aggarwal, Nimish Goel",51-100,2,—,"$11,300,000","$11,300,000",—,—,—,—,—,—,—
HexaHealth,"Health Care, Hospital","Gurgaon, Haryana, India",HexaHealth digitizes in-patient care for surgeries.,Less than $1M,Active,2021,—,Seed,Health Care,3,"Aman Priya Khanna, Ankur Gigras, Vikas Chauhan",101-250,2,Growing,"$11,481,023","$11,481,023",Medium,Medium,"582,932",7.37%,-70.33%,—,108
Asanify,"Artificial Intelligence (AI), Document Management, E-Learning, FinTech, Human Resources, Machine Learning, SaaS, Software, Training","Kolkata, West Bengal, India","Asanify provides HR SaaS solutions that automate training, HR, and payroll for startups and enterprises.",Less than $1M,Active,2019,support@asanify.com,Seed,"Administrative Services, AI, Education, Financial Services",1,Priyom Sarkar,1-10,2,—,"$166,757","$166,757",—,—,"142,413",-17.95%,42.73%,—,324
Third Unicorn,"Apps, Fantasy Sports, Information Technology","New Delhi, Delhi, India",Third Unicorn is a tech startup by Ashneer Grover.,—,Active,2022,9430733481-/care@crickpe.com,Seed,"Apps, Gaming, Information Technology, Software, Sports",3,"Aseem Ghavri, Ashneer Grover, Madhuri Jain Grover",1-10,1,—,"₹284,500,000","₹284,500,000",—,—,—,—,—,—,—
Join Ventures,E-Commerce,"Mumbai, Maharashtra, India","Join Ventures is India’s biggest celebration company, owning brands like IGP, Interflora, etc.",$1B to $10B,Active,2020,connect@joinventures.com,Early Stage Venture,Commerce and Shopping,1,Tarun Joshi,501-1000,2,Growing,"₹1,945,000,000","₹1,945,000,000",Medium,Medium,177,-99.38%,-58.22%,—,0
reightFox,"Logistics, Manufacturing, Software","Pune, Maharashtra, India",FreightFox is a tech startup in the B2B Logistics space focused on manufacturing enterprises.,$1M to $10M,Active,2020,founders@freightfox.ai,Seed,"Manufacturing, Software, Transportation",5,"Dhananjaya Shetty, Manjari Sharma, Nitish Rai, Sandeep Mukhopadhyay, Vikas Singh",11-50,2,Growing,"$888,553","$888,553",Growing,High,"1,983",46.56%,-68.60%,—,114
Quanfluence,"Hardware, Quantum Computing","Bangalore, Karnataka, India",Quanfluence operates as a quantum technology startup.,—,Active,2021,info@quanfluence.com,Seed,"Hardware, Science and Engineering",4,"Aditi Vaidya, Biman Chattopadhyay, Ravi Mehta, Sujoy Chakravarty",11-50,1,Seed,"$2,000,000","$2,000,000",—,—,—,—,—,—,—
Alyve Health,"Health Care, mHealth, Wellness","Mumbai, Maharashtra, India","Alyve Health provides personalized health plans with preventive care, outcome-based programs, and medical support.",$1M to $10M,Active,2020,marketing@alyve.health,Early Stage Venture,"Health Care, Mobile",3,"Shashank Avadhani, Sushant Roy, Vineet Mehta",51-100,3,Growing,"$6,400,000","$6,400,000",Growing,High,"30,676",739.98%,94.78%,—,"1,529"
Medyseva,Health Care,"Indore, Madhya Pradesh, India",Medyseva is focused on Telemedicine in rural India.,—,Active,2021,info@medyseva.com,Seed,Health Care,—,—,11-50,1,Seed,"₹15,000,000","₹15,000,000",Growing,—,94,-87.43%,—,—,0
Listed,"Content Creators, Funding Platform, Social Media","Bangalore, Karnataka, India",Listed builds the Creator Growth Stack.,—,Active,2021,hello@listed.fans,Seed,"Financial Services, Internet Services, Lending and Investments, Media and Entertainment",2,"Alan DSouza, Nikunj Jain",11-50,1,Seed,"₹123,900,000","₹123,900,000",—,—,177,—,—,—,0
Enthu.AI,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Chandigarh, Chandigarh, India",Enthu.AI operates as a conversation intelligence startup.,$50M to $100M,Active,2020,—,Seed,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",2,"Tushar Jain, Vishal Verma",1-10,2,Seed,"$304,428","$304,428",Growing,—,"4,068",-47.84%,-53.35%,—,237
Kibi Sports,"E-Commerce, Shopping, Sporting Goods","Bengaluru, Karnataka, India","KIBI SPORTS offers a decentralized on-chain platform for all sports goods needs, supporting global sports promotion.",$1M to $10M,Active,2020,support@kibi.co.in,Seed,"Commerce and Shopping, Sports",—,—,11-50,1,Seed,"$100,000","$100,000",Growing,High,"12,206",253.29%,25.26%,—,243
Store My Goods,"Consumer, Service Industry","Noida, Uttar Pradesh, India",Store My Goods is a storage solution provider.,$1M to $10M,Active,2021,contact@storemygoods.in,Seed,Other,—,—,11-50,1,Seed,"₹83,000,000","₹83,000,000",—,—,"5,245",173.60%,223.29%,—,236
Infinity,"Financial Services, FinTech, Payments","Bengaluru, Karnataka, India",Infinity is a business banking platform for cross-border SMBs and Startups.,—,Active,2023,support@infinityapp.in,Seed,"Financial Services, Payments",2,"Sidharth Choraria, Sourav Choraria",1-10,1,Seed,"$1,900,000","$1,900,000",—,—,841,175.74%,—,—,28
Creative Galileo,"E-Learning, EdTech, Education","Andheri, Maharashtra, India",Creative Galileo is an Edtech startup focusing on early learning for children.,$1M to $10M,Active,2020,—,Early Stage Venture,"Education, Software",2,"Nikhil Naik, Prerna A Jhunjhunwala",11-50,2,Early Stage Venture,"$10,000,000","$10,000,000",Growing,—,540,456.70%,994.94%,—,1
Plaeto,"Consumer Goods, E-Commerce, Fashion, Retail","Bengaluru, Karnataka, India","Plaeto offers unique, multi-purpose, world-class footwear for Indian children.",$1M to $10M,Active,2020,care@plaeto.in,Early Stage Venture,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design",—,—,11-50,1,Early Stage Venture,"₹400,000,000","₹400,000,000",—,—,"95,567",-35.37%,-56.52%,—,60
Treacle Technologies,"Cyber Security, Information Technology, Internet","Kanpur, Uttar Pradesh, India",Treacle Technologies is a cybersecurity startup ensuring businesses remain safe in the digital world.,—,Active,2021,—,Seed,"Information Technology, Internet Services, Privacy and Security",—,—,1-10,3,Seed,"₹40,000,000","₹40,000,000",—,—,—,—,—,—,—
NAKAD,"Financial Services, FinTech","Delhi, Delhi, India",NAKAD operates as a fintech startup.,$1M to $10M,Active,2022,bd@nakad.co,—,Financial Services,—,—,1-10,2,—,"$7,000,000","$7,000,000",—,—,444,-55.86%,611.11%,—,0
EquityList,"Finance, Financial Services, SaaS, Service Industry, Software","New Delhi, Delhi, India",Full-stack equity and shareholder management platform for global businesses.,$1M to $10M,Active,2020,help@equitylist.co,Seed,"Financial Services, Other, Software",—,—,11-50,2,Seed,"$2,200,000","$2,200,000",Growing,High,"4,098",-31.99%,118.49%,—,981
GrowthPal,"Finance, FinTech","Pune, Maharashtra, India",M&A lead sourcing engine for corporates and startups looking to acquire small to mid-sized companies globally.,—,Active,2020,shalu.mitruka@growthpal.com,—,Financial Services,3,"Maneesh Bhandari, Shalu Mitruka, Yash Gandhi",11-50,1,—,"$1,400,000","$1,400,000",Growing,—,323,-30.09%,-87.89%,—,112
haeywa,"Blockchain, FinTech, Mobile Apps, Software, Virtual Goods, Virtual World, Web Apps","Gurgaon, Haryana, India","FinTech startup building haeywa, a petty cash payments and management platform.",—,Active,2021,hello@dotnova.ai,Seed,"Apps, Blockchain and Cryptocurrency, Financial Services",1,Shilpa Mahna Bhatnagar,11-50,2,Seed,"₹30,000,000","₹30,000,000",—,—,—,—,—,—,—
Six Sense Mobility,"Automotive, Internet of Things","New Delhi, Delhi, India",Deep tech smart mobility startup working in connected cars and modular smart mobility technologies.,—,Active,2022,—,Seed,"Internet Services, Transportation",2,"Narendra Verma, Sumit Roy",11-50,1,Seed,"₹60,000,000","₹60,000,000",—,—,—,—,—,—,—
NeuroPixel.AI,"Artificial Intelligence (AI), Computer Vision, E-Commerce, Machine Learning","Bangalore, Karnataka, India",AI/ML for computer vision in online retail storefronts.,$1M to $10M,Active,2020,—,Seed,"Artificial Intelligence (AI), Data and Analytics, Software",2,"Amritendu Mukherjee, Arvind Venugopal Nair",11-50,5,Seed,"$1,124,000","$1,124,000",Growing,—,704,52.38%,-58.90%,—,35
BriskPe,"Financial Services, FinTech, Mobile Payments, Payments","Mumbai, Maharashtra, India",Cross-border payment service provider.,—,Active,2023,info@briskpe.com,Seed,"Financial Services, Mobile, Payments, Software",3,"Indunath Chaudhary, Nilesh Pathak, Sanjay Tripathy",11-50,1,Seed,"$5,000,000","$5,000,000",Growing,High,—,—,—,0,—
ProjectX.Cloud,"Cloud Computing, Operating Systems, PaaS","Madanpur, West Bengal, India","Reimagining computing with the web-based compute platform ""Infinity"".",—,Active,2022,info@projectx.cloud,Seed,"Internet Services, Platforms, Software",1,Rounak Adhikary,11-50,6,Seed,"₹400,000","₹20,840,000",Growing,High,530,20.73%,-59%,—,61
Alchemyst AI,"Artificial Intelligence (AI), Enterprise Software, Information Technology, Internet, SaaS","Kolkata, West Bengal, India",Hyperintelligent AI virtual employees for enterprise teams.,—,Active,2024,uttaran@getalchemystai.com,Seed,"Artificial Intelligence (AI), Data and Analytics, Software",—,—,11-50,1,Seed,"$300,000","$300,000",—,—,"5,350",203.98%,-84%,—,128
PedalStart,Internet,"Gurgaon, Haryana, India",Enabling entrepreneurs by providing them with a network for their startup ventures.,$1M to $10M,Active,2021,connect@pedalstart.com,Seed,Internet Services,2,"Aditya Darolia, Manas Sunita Pal",11-50,1,Seed,"$250,000","$250,000",Stable,Low,"112,544",931.66%,425%,—,63
Cone Software,"B2B, Professional Services, Software","Hyderabad, Andhra Pradesh, India",Business automation and AI company providing software tools for professional services.,—,Active,2022,hello@getcone.io,Seed,"Other, Software",3,"Bharath Kumar Reddy, Jahangir Mohammed, Mohammad Owaiz Shaik",1-10,2,Seed,"$2,150,104","$2,150,104",—,—,"12,078",-47.16%,256.76%,—,264
HealthCred,"B2B, Financial Services, FinTech, Health Care","Shahdara, Delhi, India",B2B financing for the healthcare sector.,—,Active,2022,info@healthcred.co.in,Seed,"Financial Services, Health Care, Other",2,"Arpit Jangir, Shrey Jain",1-10,2,Seed,"$1,440,000","$1,440,000",Growing,High,177,-48.25%,-25.84%,—,0
Skolar,EdTech,"Bangalore, Karnataka, India","E-learning, upskilling, LMS platform.",$1M to $10M,Active,2021,support@skolar.in,Seed,"Education, Software",2,"Muskan Rastogi, Taufique Ahmad",251-500,1,Seed,"₹2,000,000","₹2,000,000",—,—,704,-39.36%,44.81%,—,391
TaxNodes,"Consulting, Cryptocurrency, Finance, FinTech","Bengaluru, Karnataka, India",Crypto tax computation and ITR filing services.,$10M to $50M,Active,2022,—,Seed,"Blockchain and Cryptocurrency, Financial Services, Software",—,—,11-50,1,Seed,"₹131,000,000","₹131,000,000",Growing,Medium,531,-1.12%,-51.84%,—,288
Basil,Manufacturing,"Bengaluru, Karnataka, India",Consumer houseware startup.,—,Active,2023,—,Seed,Manufacturing,—,—,1-10,1,Seed,"₹36,000,000","₹36,000,000",—,—,"3,638",-15.10%,-77.84%,—,152
Ayena Innovation,"Business Development, Customer Service, Home Decor, Manufacturing","Ranchi, Jharkhand, India",Services in home furnishings and design.,—,Active,2020,—,—,"Manufacturing, Other, Professional Services",1,Utsav Mahto,—,1,—,"₹59,900,000","₹59,900,000",—,—,—,—,—,—,—
Credwise,"Credit Cards, FinTech, Mobile Apps, Payments","Bangalore, Karnataka, India",Mobile app for sharing credit and managing expenses.,—,Active,2022,team@credwise.co.in,Seed,"Apps, Financial Services, Lending and Investments, Mobile, Payments",2,"Archit Sharma, Dheeraj Kumar",11-50,1,Seed,"₹12,500,000","₹12,500,000",—,—,93,—,—,162,—
Superfoods Valley,"Consumer, Nutrition","Bengaluru, Karnataka, India",Superfoods Valley operates as a nutrition and food-tech start-up.,—,Active,2021,—,Seed,"Food and Beverage, Health Care, Other",—,—,1-10,2,Seed,"₹78,200,000","₹78,200,000",Growing,—,—,—,—,—,—
Aulerth,"Fashion, Jewelry","Gurgaon, Haryana, India",Aulerth is a high-fashion and digital-first jewellery startup.,$1M to $10M,Active,2021,—,Seed,"Clothing and Apparel, Consumer Goods, Design",—,—,1-10,1,Seed,"₹80,000,000","₹80,000,000",Growing,—,93,—,—,—,4
TapFin,"Financial Services, Insurance, Sustainability","Mumbai, Maharashtra, India",Tapfin is a sustainability platform offering services including financing and insurance.,—,Active,2023,contact@tapfin.in,Seed,"Financial Services, Sustainability",3,"Aditya Singh, Pramod Marar, Terniza Berry",1-10,1,Seed,"$4,000,000","$4,000,000",—,—,—,—,—,—,—
WorqHat,"Collaboration, Industrial Automation, Information Technology, SaaS","Pune, Maharashtra, India","Conversational Intelligence to build custom Apps, Workflows and Automation for organizations.",—,Active,2022,talktous@worqhat.com,Seed,"Apps, Information Technology, Internet Services, Manufacturing, Other, Sales and Marketing, Software",2,"Sagnik Ghosh, Susmita Ghosh",11-50,7,Seed,"$698,570","$907,272",Growing,—,94,-36.49%,500.00%,0,—
Teleport,"Leisure, Tourism, Travel","Bengaluru, Karnataka, India",Teleport simplifies travel visa applications by reducing paperwork requirements.,—,Active,2022,—,Seed,"Community and Lifestyle, Travel and Tourism",—,—,1-10,2,Seed,"$500,000","$600,000",—,—,"187,986",11.85%,202.42%,—,499
Alwrite,—,"Mumbai, Maharashtra, India",Alwrite streamlines placement and underwriting journeys.,—,Active,2021,—,—,—,—,—,11-50,1,Seed,"₹100,000,000","₹100,000,000",—,—,186,8.77%,-97.16%,—,13
StayQrious,"E-Learning, EdTech, Education","Bangalore, Karnataka, India",StayQrious provides educational tools and resources for learners across subjects.,$1M to $10M,Active,2020,support@stayqrious.com,Seed,"Education, Software",3,"Aanand Srinivas, Avinash Anand, Shankar Ram A",1-10,2,Seed,"$2,000,000","$2,000,000",—,—,"5,765",4.57%,-33.73%,—,937
Control One AI,"Artificial Intelligence (AI), Robotics, Supply Chain Management","Bengaluru, Karnataka, India",Control One AI develops AI for slow-moving equipment used in supply chains.,—,Active,2023,hr@controlone.ai,Seed,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation",1,Pranavan Santhanakrishnan,11-50,1,Seed,"$350,000","$350,000",Growing,High,93,—,—,—,161
Boostmychild Private Limited,"Artificial Intelligence (AI), EdTech, Mobile Apps, Parenting","Pune, Maharashtra, India",An EdTech platform that empowers parents to help in their child's development.,—,Active,2021,vipul@boostmychild.com,Seed,"Apps, Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Education, Mobile, Science and Engineering, Software",—,—,1-10,2,Seed,"₹12,000,000","₹12,000,000",—,—,93,—,—,—,0
MiniMines Cleantech Solutions,"Clean Energy, CleanTech, Recycling","Bangalore, Karnataka, India",MiniMines offers an efficient Li-ion battery recycling clean-tech solution.,—,Active,2021,info@m-mines.com,Seed,"Energy, Sustainability",4,"Anupam Kumar, Arvind Bhardwaj, D.C. (Deep) Joshi, Manish Uprety F.R.A.S.",11-50,4,Seed,"$50,000","$550,000",Growing,—,—,—,—,1,—
Adicube,"Advertising, Brand Marketing, Social Media Marketing","Bengaluru, Karnataka, India",Adicube connects influencers with brands transparently.,$1M to $10M,Active,2021,Sreetam@adicube.com,Seed,"Advertising, Sales and Marketing",—,—,1-10,1,Seed,"₹120,000,000","₹120,000,000",—,—,118,—,—,2,—
Downpour Consultancy Services,"Consulting, Information Technology, IT Management","Bareilly, Uttar Pradesh, India",Provides IT services and consulting.,—,Active,2022,business@downpourcs.com,Seed,"Information Technology, Professional Services",2,"Siddharth Mahajan, Siddhartha Shashwat",11-50,2,Seed,"$3,000,000","$3,000,000",—,—,205,—,—,—,220
