Organization Name,Industries,Headquarters Location,Estimated Revenue,Operating Status,Founded Date,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly Visit Growth,Visit Duration Growth,Patents Granted,Visit Duration
Salvi Ltd Pvt Ltd,Paper & Packaging,Punjab,$10M to $50M,Active,2022,Seed,Packaging,4,"Hardik Khalsa, Chaman Nadig, Watika Edwin, Ekavir Srinivasan",1-10,4,M&A,$0 to $1M,Medium,High,1329503,-97.06759861264979,8970.45264275692,0,124
Subramanian-Dutta Solutions,Food Processing,Goa,$10B+,Active,2022,Series B,Food and Beverage,3,"Januja Bhandari, Mahika Balay, Gavin Seth",101-250,6,Growing,$100M to $500M,High,High,1221314,1927.9169388280475,6279.5851114201705,4,1776
"Bhargava, Ramesh and Kashyap Pvt Ltd",Roads,Maharashtra,$10B+,Active,2019,Series C,Infrastructure,3,"Amol Saxena, Oviya Chandran, Frado Ravel",1001-5000,0,Seed,$10M to $50M,Growing,Medium,1707295,611.8697581223345,1231.9648607222548,3,1892
Mahajan-Peri Innovations,Education and Training,Arunachal Pradesh,$100M to $500M,Active,2021,Series B,Education,1,Harish Datta,1001-5000,6,M&A,$10M to $50M,High,High,513656,1865.241250594861,3067.386777868443,2,2074
"Dani, Hegde and Wali Innovations",Electric Vehicle,Haryana,Less than $1M,Closed,2024,Seed,Automotive,5,"Tara Batta, Caleb Chopra, Jairaj Krishnamurthy, Charvi Pal, Brinda Babu",11-50,0,Seed,$0 to $1M,Medium,Low,4597,-96.27496069678485,5056.865530396641,6,785
"Singh, Ganesh and Dass Labs",Agriculture and Allied Industries,Goa,$10B+,Active,2017,Seed,Agriculture,3,"Aditya Vig, Manbir Narasimhan, Geetika Gole",51-100,2,Growing,$10M to $50M,Growing,Medium,1820037,707.000603754229,9415.471216855314,9,359
Oza and Sons Labs,MSME,Uttarakhand,$1M to $10M,Closed,2022,Seed,Small Business,1,Yahvi Soman,11-50,0,Seed,$0 to $1M,Medium,Low,209,-88.40035104888207,6692.84629058912,6,875
Andra and Sons Technologies,Engineering and Capital Goods,Uttarakhand,$1M to $10M,Closed,2021,Seed,Engineering,1,Ryan Yogi,11-50,0,Seed,$0 to $1M,Growing,Low,34,-90.32643249820829,8900.642775262653,6,989
Salvi-Raval Labs,Power,Kerala,Less than $1M,Active,2017,Seed,Energy,3,"Abeer Sarma, Wishi Bhatti, Warhi Nair",101-250,6,Growing,$100M to $500M,High,Medium,372888,22.51410649661028,9602.29750191094,5,1966
Dua-Sandhu Technologies,Aviation,Uttarakhand,$10M to $50M,Active,2019,Series C,Transportation,1,Pushti Palla,11-50,2,Seed,$1M to $5M,High,Low,916753,1471.909865188948,2308.1799191211453,7,1423
"Chakraborty, Desai and Srinivasan Innovations",Consumer Durables,Rajasthan,$1M to $10M,Closed,2024,Seed,Consumer Goods,1,Guneet Sood,11-50,0,Seed,$0 to $1M,High,Low,5077,-79.79719280086948,9597.263289808348,6,1410
Reddy Ltd Technologies,Roads,Uttar Pradesh,$1M to $10M,Closed,2021,Seed,Infrastructure,3,"Oscar Chadha, Pallavi Prabhu, Vanya Parmer",11-50,0,Seed,$0 to $1M,Growing,Low,6402,-89.98874734735797,4850.441989579368,7,1160
"Panchal, Gill and Raja Innovations",Chemicals,Jammu and Kashmir,$100M to $500M,Active,2019,Series C,Chemicals,2,"Vinaya Samra, Xavier Pradhan",501-1000,7,Growing,$0 to $1M,Growing,High,846501,725.1961406028911,2503.497265697708,1,2369
"Bhavsar, Anand and Golla Labs",Power,Sikkim,Less than $1M,Closed,2021,Seed,Energy,4,"Nitesh Rout, Arin Apte, Gayathri Garg, Lucky Bala",1-10,0,Seed,$0 to $1M,Medium,Low,6466,-20.759932589309315,6404.206556140429,0,1527
Sampath Group Pvt Ltd,Medical Devices,Kerala,$1M to $10M,Closed,2018,Seed,Healthcare,1,Barkha Lalla,1-10,0,Seed,$0 to $1M,Medium,Low,2035,-39.22216398751149,2302.6255920314375,3,839
Palan Ltd Innovations,Pharmaceuticals,Rajasthan,$10M to $50M,Closed,2019,Series A,Pharmaceuticals,1,Leena Cheema,11-50,1,Early Stage Venture,$0 to $1M,Growing,Low,13964,-53.48633993265145,7446.677728506,1,734
Pau-Devi Labs,Steel,Tripura,Less than $1M,Active,2019,IPO,Manufacturing,5,"Kevin Palan, Ganga Dhar, Raghav Prasad, Dipta Choudhry, Avi Kar",101-250,0,Early Stage Venture,$100M to $500M,Growing,Medium,1862792,1172.8405153550527,9186.251291474266,2,701
"Venkatesh, Sant and Prasad Technologies",Electric Vehicle,Jharkhand,$100M to $500M,Active,2022,Seed,Automotive,2,"Chatura Palan, Vasatika Choudhry",1-10,3,Growing,$10M to $50M,Medium,Low,352109,1180.4778668534648,3502.50786536104,9,234
Chana Group Technologies,Science and Technology,Nagaland,$10M to $50M,Closed,2018,Series A,Technology,1,Tanvi Thaker,11-50,1,Seed,$1M to $5M,High,Low,48096,28.685736859449975,8370.624298346174,4,2060
Bahl and Sons Labs,Roads,Tamil Nadu,$100M to $500M,Active,2022,Seed,Infrastructure,1,Sanaya Misra,1-10,2,Early Stage Venture,$100M to $500M,Medium,Low,958768,1468.508619415277,3656.668964820945,10,1166
"Saran, Majumdar and Lall Pvt Ltd",Manufacturing,Goa,$1M to $10M,Active,2023,Series A,Manufacturing,4,"Ishaan Reddy, Anjali Nagar, Meghana Deep, Darsh Rege",11-50,0,Seed,$50M to $100M,Growing,High,70928,-91.66110762808813,8209.39348713051,10,681
"Brahmbhatt, Bumb and Vig Innovations",Insurance,Gujarat,$1M to $10M,Active,2024,Seed,Financial Services,3,"Vedant Sahota, Faqid Tank, George Doshi",11-50,7,Early Stage Venture,$50M to $100M,High,Low,1832835,1960.4724258333263,5081.835756058511,1,2296
Gaba Inc Pvt Ltd,Telecommunications,Sikkim,Less than $1M,Active,2021,IPO,Telecommunications,3,"Abha Arya, Deepa Deep, Ryan Ghose",1001-5000,2,Early Stage Venture,$1M to $5M,Medium,High,1944976,1462.0164017904194,1605.8554115179595,6,1290
Mander Ltd Pvt Ltd,MSME,Uttar Pradesh,$100M to $500M,Active,2024,Seed,Small Business,4,"Yoshita Yadav, Gaurangi Barman, Balvan Patla, Balendra Ramanathan",1-10,3,Early Stage Venture,$5M to $10M,Growing,Medium,666354,379.3124349517229,5143.772187095097,2,2340
"Sagar, Sagar and Atwal Technologies",Infrastructure,Mizoram,Less than $1M,Closed,2018,Seed,Infrastructure,1,Dalbir Nadig,51-100,2,Seed,$0 to $1M,Medium,Medium,28297,-88.0902171801512,746.3320477166233,9,1330
Karpe-Gara Innovations,Tourism and Hospitality,Jammu and Kashmir,$100M to $500M,Active,2020,Series B,Hospitality,1,Wishi Lanka,1-10,0,Seed,$1M to $5M,Medium,High,80971,1982.838257774421,547.9596378349421,2,1529
Singh-Pall Labs,Defence Manufacturing,Rajasthan,$10M to $50M,Active,2023,Series B,Defence,1,Chaman Walla,1-10,7,Early Stage Venture,$50M to $100M,Growing,Medium,317386,952.4603407793761,6933.0428768171105,0,959
Prabhu PLC Pvt Ltd,Aviation,Meghalaya,Less than $1M,Closed,2020,Seed,Transportation,1,Om Bhatti,11-50,0,Seed,$0 to $1M,High,Low,8919,-21.833845221663736,8250.43384358164,8,1747
Ranganathan-Loyal Pvt Ltd,Education and Training,Andhra Pradesh,$1B to $10B,Active,2017,Series C,Education,1,Rachita Sachar,1001-5000,6,M&A,$5M to $10M,Growing,Medium,547280,655.2463124620778,700.3247787422878,2,166
Bains-Behl Technologies,Education and Training,Gujarat,Less than $1M,Closed,2020,Seed,Education,5,"Aditya Kaul, Pahal Koshy, Ayush Puri, Warjas Shukla, Amrita Khosla",1-10,0,Seed,$0 to $1M,Growing,Low,7553,-44.91379140002275,2357.95417865436,5,2005
Palla-Mander Innovations,Roads,Uttarakhand,$1M to $10M,Active,2018,Seed,Infrastructure,1,Anjali Khurana,11-50,1,Seed,$50M to $100M,High,High,1121448,477.1696076011417,5846.8197111046975,10,1878
"Chaudhari, Wadhwa and Dey Innovations",Engineering and Capital Goods,Punjab,$1B to $10B,Active,2021,Series A,Engineering,4,"Yauvani Nadkarni, Vrinda Mangal, Siya Ramachandran, Aahana Anne",501-1000,5,Seed,$50M to $100M,High,High,1612576,679.5106880494012,4409.041337728655,10,2144
Mody LLC Solutions,E-Commerce,Assam,$50M to $100M,Active,2023,Series C,Commerce,1,Neha Kamdar,101-250,1,Growing,$10M to $50M,High,Medium,1106067,1128.0400180632123,2104.380943595177,8,1193
Nigam-Singhal Innovations,Medical Devices,Karnataka,$1M to $10M,Active,2021,Series C,Healthcare,2,"Jeevika Ratta, Sarthak Sachdeva",1-10,4,M&A,$50M to $100M,Growing,Medium,1982132,1131.9924575533485,1328.2340910845262,6,2361
"Bahri, Dewan and Parikh Innovations",Financial Services,West Bengal,$100M to $500M,Active,2020,Series A,Financial Services,1,Nathaniel Chada,101-250,0,Growing,$100M to $500M,Growing,Low,658406,587.1524482670045,2068.066604263139,7,980
Mani and Sons Solutions,Financial Services,Assam,$1M to $10M,Active,2020,IPO,Financial Services,1,Lajita Dar,11-50,2,Seed,$0 to $1M,Growing,Low,1991877,1840.7252468227803,184.31986626718208,9,94
Keer-Borra Labs,Auto Components,Telangana,$10B+,Active,2022,Series B,Automotive,5,"Wishi Deshpande, Eesha Kala, Finn Kashyap, Chakrika Banerjee, Faris Chaudhary",1-10,2,Early Stage Venture,$50M to $100M,High,High,1985987,1296.0276767909213,45.756659019979594,0,2082
Bains PLC Pvt Ltd,Chemicals,Assam,$1B to $10B,Active,2023,Seed,Chemicals,3,"Arunima Saran, Yahvi Wason, Bhavika Mangat",251-500,1,M&A,$50M to $100M,Medium,Low,1860846,-82.36751832144056,-23.597774229049307,1,2131
Luthra Ltd Innovations,Electronics System Design & Manufacturing,Goa,$50M to $100M,Active,2023,Series C,Electronics,2,"Amaira Goswami, Hamsini Boase",51-100,6,Growing,$10M to $50M,Medium,Medium,32321,1881.460408070725,2059.0901418743174,5,1392
"Sampath, Maharaj and Wali Technologies",Cement,Bihar,$10M to $50M,Active,2020,Series B,Construction,4,"Aradhana Sastry, Harini Bajwa, Lohit Chakrabarti, Veer Butala",11-50,1,Early Stage Venture,$5M to $10M,Medium,Medium,1544568,-98.4407920021529,270.11985473856134,2,799
Bir PLC Labs,Medical Devices,Haryana,Less than $1M,Active,2019,Seed,Healthcare,4,"Januja Swamy, Krishna Banerjee, Azaan Dani, Omisha Maharaj",1001-5000,3,Early Stage Venture,$0 to $1M,Medium,High,1290112,1144.0262989963865,8987.822151443734,6,839
"Mishra, Guha and Dora Innovations",Manufacturing,Karnataka,Less than $1M,Closed,2024,Seed,Manufacturing,1,Nitara Narain,11-50,0,Seed,$0 to $1M,Growing,Low,4473,-9.878168295791696,5938.201951380571,10,850
Munshi-Venkatesh Technologies,Education and Training,Jammu and Kashmir,Less than $1M,Active,2019,Series B,Education,1,Onkar Prakash,51-100,0,Seed,$5M to $10M,Growing,Low,1756508,903.8055583792573,1373.179307916433,8,1640
Chakraborty-Sandhu Labs,Ayush,Jharkhand,Less than $1M,Closed,2020,Seed,Healthcare,1,Anjali Salvi,11-50,0,Seed,$0 to $1M,Growing,Low,3696,-61.40076475233924,8693.88845514378,3,780
Swamy Group Solutions,Insurance,Arunachal Pradesh,$10M to $50M,Closed,2017,Series A,Financial Services,5,"Suhani Dewan, Aayush Karpe, Kala Varghese, Vansha Pau, Gavin Cherian",11-50,0,Seed,$1M to $5M,High,Medium,30030,-23.095117940878538,3452.30366796965,7,1547
Narayan-Bath Solutions,Food Processing,Rajasthan,Less than $1M,Closed,2017,Seed,Food and Beverage,4,"Dominic Bhatt, Leela Bhat, Amruta Munshi, Benjamin Kapur",1-10,0,Seed,$0 to $1M,Growing,Low,7379,-45.54290841971961,-75.5836132559036,1,2164
"Grover, Majumdar and Agrawal Labs",Oil and Gas,Andhra Pradesh,$100M to $500M,Active,2019,Series B,Energy,2,"Aditya Saini, Caleb Bansal",11-50,2,Early Stage Venture,$50M to $100M,Medium,High,915485,220.92180052720096,7839.4149960812565,4,2004
"Chandra, Borra and Yogi Solutions",Agriculture and Allied Industries,Haryana,$1M to $10M,Closed,2022,Seed,Agriculture,3,"Benjamin Thakkar, Mekhala Dara, Jackson Bera",1-10,0,Seed,$0 to $1M,Medium,Low,3028,-19.519099542410785,1361.6923073983453,1,2450
Banik and Sons Solutions,Automobiles,Odisha,$1M to $10M,Closed,2022,Seed,Automotive,5,"Hema Nayar, Nisha Trivedi, Rajeshri Sur, Wishi Bassi, Vasudha Sandal",11-50,0,Seed,$0 to $1M,Medium,Low,6559,-79.71762169674055,4147.954444776541,0,25
Tailor-Savant Innovations,Services,Chhattisgarh,$50M to $100M,Active,2020,Series B,Services,1,Azad Dugal,1001-5000,7,M&A,$100M to $500M,Growing,High,696579,624.1627314318315,5940.995644833361,10,701
Swaminathan LLC Innovations,Defence Manufacturing,Chhattisgarh,$1M to $10M,Closed,2020,Seed,Defence,2,"Benjamin Rastogi, Michael Prasad",1-10,0,Seed,$0 to $1M,Growing,Low,2490,-75.13008981235593,2467.017714098314,6,2216
Sankar-Sibal Innovations,Automobiles,Manipur,$1B to $10B,Active,2019,Series A,Automotive,4,"Shravya Nagy, Harish Dhar, Faqid Tara, Riya Gopal",11-50,1,Growing,$10M to $50M,High,Medium,1120381,1345.9275839080647,3566.200255447305,7,2227
Peri-Sachar Pvt Ltd,Ayush,Punjab,$1M to $10M,Closed,2023,Seed,Healthcare,5,"Devansh Joshi, Charles Bahl, Ishita Wali, Sarthak Dugar, Forum De",11-50,0,Seed,$0 to $1M,High,Medium,569,-65.92683322805411,7171.444365128176,0,812
Dugal-Bhat Technologies,IT & BPM,Uttarakhand,$1B to $10B,Active,2019,Seed,Information Technology,5,"Gagan Gola, Lopa Pandit, Chakradev Dhaliwal, Urishilla Kale, Vasana Karnik",1-10,3,Early Stage Venture,$5M to $10M,High,Medium,188239,1647.2808537323324,7554.14932584015,10,1560
Venkatesh-Soni Labs,Renewable Energy,Jharkhand,$1B to $10B,Active,2019,Series C,Energy,4,"Praneel Lall, Samaksh Barman, Bhavini Rastogi, Finn Oommen",11-50,2,Growing,$100M to $500M,Medium,Medium,997192,1200.5779787665356,2611.479507797288,5,466
"Varkey, Seshadri and Behl Technologies",Metals and Mining,Maharashtra,$100M to $500M,Active,2020,Series C,Mining,1,Alexander Handa,501-1000,4,Growing,$5M to $10M,High,High,1455844,1959.6913707183012,8203.597230759904,9,800
Datta-Dubey Pvt Ltd,Medical Devices,Himachal Pradesh,$50M to $100M,Active,2017,Series C,Healthcare,2,"Vinaya Datta, Lavanya Brar",1001-5000,1,Growing,$10M to $50M,Medium,Medium,500738,1894.7436669399042,2056.1415803284276,10,1822
"Dash, Naidu and Reddy Innovations",Biotechnology,Kerala,Less than $1M,Closed,2019,Seed,Biotechnology,3,"Zashil Rana, Mohini Majumdar, Vedika Joshi",11-50,0,Seed,$0 to $1M,Medium,Low,8011,-88.65131944583342,3108.5100749355615,7,1176
Oommen and Sons Pvt Ltd,Power,Odisha,$100M to $500M,Active,2019,Series C,Energy,3,"Aditya Deo, Aayush Balakrishnan, Fitan Tripathi",11-50,4,Early Stage Venture,$10M to $50M,Growing,Low,1495041,1866.3964868959783,1538.8883978763126,9,1297
Vohra-Balakrishnan Solutions,Banking,Telangana,Less than $1M,Closed,2022,Series A,Financial Services,1,Vansha Mallick,51-100,0,Early Stage Venture,$1M to $5M,Growing,Low,3633,-98.49847455857748,2324.366572594953,2,392
Swaminathan-Raja Labs,Metals and Mining,Jharkhand,Less than $1M,Closed,2020,Seed,Mining,5,"Idika Ramanathan, Neel Dugar, William Grover, Hritik Hegde, Zayyan Sunder",1-10,0,Seed,$0 to $1M,Medium,Low,9314,-31.630910624473813,364.0310263963471,0,428
Iyer-Kamdar Innovations,Insurance,Jammu and Kashmir,Less than $1M,Active,2021,Seed,Financial Services,5,"Orinder Sood, Anamika Narayan, Frederick Warrior, Garima Lalla, Jhalak Narang",251-500,5,Early Stage Venture,$1M to $5M,Growing,High,1175812,107.50821808834942,8005.826623439971,10,1565
Sachdev-Thakur Solutions,Retail,Karnataka,Less than $1M,Closed,2018,Seed,Commerce,1,Osha Bahri,1-10,0,Seed,$0 to $1M,Medium,Low,4511,-28.245472917471915,7423.388695895099,1,1562
Dugar PLC Innovations,Metals and Mining,Punjab,$10B+,Active,2017,Series B,Mining,3,"Harinakshi Basu, Tejas Oak, Nidra Datta",1-10,2,Seed,$0 to $1M,Medium,Medium,1561891,472.5657300612304,8284.569584777008,4,679
Anne-Randhawa Technologies,Gems and Jewellery,Bihar,$1M to $10M,Active,2020,Series C,Luxury Goods,3,"Brijesh Issac, Geetika Deep, Ojasvi Som",51-100,4,Seed,$10M to $50M,Growing,Medium,994032,1866.234077884173,3620.212384340331,8,2372
"Rege, Chaudhari and Sama Technologies",Science and Technology,Haryana,$100M to $500M,Active,2023,Seed,Technology,1,Dayamai Chowdhury,1-10,1,Growing,$100M to $500M,Growing,Medium,466683,103.15752297057873,3394.0503116348714,7,2342
Dugar-Ramaswamy Innovations,Pharmaceuticals,Bihar,$10B+,Active,2024,IPO,Pharmaceuticals,1,Ekansh Cherian,1-10,0,Early Stage Venture,$5M to $10M,Medium,Medium,546007,1489.921874364973,3531.20715564983,6,513
"Taneja, Chacko and Ghose Innovations",Engineering and Capital Goods,Madhya Pradesh,Less than $1M,Closed,2017,Series A,Engineering,1,Widisha Wason,51-100,1,Early Stage Venture,$1M to $5M,Growing,Low,48016,48.78166662028133,7265.181609539606,5,1091
Nadkarni-Sandal Labs,Engineering and Capital Goods,Punjab,Less than $1M,Active,2019,IPO,Engineering,3,"Lipika Baria, Ryan Arya, Abeer Rajagopalan",11-50,4,Growing,$5M to $10M,High,Medium,136318,282.9419113010478,463.5838300237699,3,428
Wali-Loke Pvt Ltd,Gems and Jewellery,Andhra Pradesh,$1M to $10M,Closed,2021,Seed,Luxury Goods,4,"Nakul Nanda, Vihaan Devan, Udarsh Sampath, Krish Yadav",1-10,0,Seed,$0 to $1M,Medium,Low,6368,-83.84438025774745,1566.1362171434757,10,1719
Chaudhari-Goyal Labs,Insurance,Manipur,Less than $1M,Closed,2017,Seed,Financial Services,2,"Krishna Gupta, Sanaya Sankaran",1-10,0,Seed,$0 to $1M,Growing,Low,4830,-43.1430630296112,1011.3333857106907,8,5
Varughese-Mani Pvt Ltd,Education and Training,Gujarat,$100M to $500M,Active,2019,Series A,Education,4,"Zayan Vora, Yauvani Oza, Liam Samra, Amruta Shroff",1001-5000,1,Early Stage Venture,$100M to $500M,Medium,Low,1524568,593.4428171450767,2161.164645615751,4,2292
"Bir, Arya and Parekh Pvt Ltd",Renewable Energy,Tripura,$10B+,Active,2020,Series C,Energy,1,Omya Bhavsar,101-250,5,M&A,$0 to $1M,Growing,Medium,351611,71.75792596201751,1818.3248718268048,10,225
Chandran-Muni Labs,MSME,Bihar,$50M to $100M,Active,2022,Series B,Small Business,2,"Barkha Chahal, Turvi Sachdeva",11-50,0,Growing,$10M to $50M,High,High,1218458,1729.0028559925734,2143.547933648063,8,2140
Bir-Sandal Solutions,Gems and Jewellery,Madhya Pradesh,$50M to $100M,Active,2018,Series B,Luxury Goods,1,Joshua Mukherjee,101-250,5,Growing,$50M to $100M,Medium,Low,961889,-33.7345239105215,4705.864537848996,7,1768
Muni-Bhavsar Pvt Ltd,Gems and Jewellery,Karnataka,$10B+,Active,2017,Series B,Luxury Goods,5,"Dalaja Nori, Vyanjana Joshi, Zehaan Divan, Indrajit Chakraborty, Sarthak Pingle",251-500,1,Seed,$0 to $1M,High,Medium,1299013,1718.335565898263,7259.038634489508,10,2309
"Bobal, Chahal and Uppal Pvt Ltd",Infrastructure,Mizoram,$10M to $50M,Closed,2021,Series A,Infrastructure,5,"Dalaja Bawa, Ira Toor, Maanav Trivedi, Vaishnavi Parsa, Urmi Pal",51-100,1,Seed,$0 to $1M,High,Low,18080,5.116234766696536,158.25687585322999,3,1916
"Dara, Raju and Tella Labs",Roads,Chhattisgarh,$1M to $10M,Active,2021,Seed,Infrastructure,1,Dhriti Walia,1001-5000,0,Seed,$0 to $1M,High,Low,1495735,1670.8795620713825,5485.533501452191,6,2326
Lall-Varty Innovations,FMCG,Nagaland,$1B to $10B,Active,2017,Seed,Consumer Goods,2,"Gagan Subramanian, Chakradev Narula",101-250,1,M&A,$1M to $5M,Medium,High,1813225,571.591420967972,6209.2102453299285,10,1516
Shukla-Dave Solutions,Education and Training,Haryana,$1M to $10M,Active,2019,Series C,Education,2,"Chandani Wali, Aishani Sankar",1001-5000,5,Seed,$10M to $50M,Medium,Low,20408,1496.1578920234572,9959.19494177991,5,2166
Sachar LLC Innovations,FMCG,Tripura,$10M to $50M,Active,2017,Seed,Consumer Goods,5,"Bina Lanka, Chatura Mukhopadhyay, Abhiram Ram, Ayaan Krishna, Yash Merchant",51-100,1,Early Stage Venture,$5M to $10M,Growing,High,1163668,379.65220743860056,1259.1098045929452,10,507
"Comar, Ganesh and Nadig Labs",MSME,Sikkim,Less than $1M,Closed,2022,Series A,Small Business,3,"Suhani Sha, Indrajit Gour, Eiravati Aggarwal",51-100,2,Early Stage Venture,$1M to $5M,High,Low,11810,4.17595419845226,6583.982960293527,8,623
"Batra, Ramakrishnan and Ramanathan Technologies",Medical Devices,Tripura,Less than $1M,Closed,2022,Seed,Healthcare,3,"Aayush Chana, Logan Ahluwalia, Wakeeta Dua",1-10,0,Seed,$0 to $1M,Growing,Low,450,-22.2793508372787,5443.15210870409,0,2353
"Bansal, Acharya and Dave Pvt Ltd",Tourism and Hospitality,Nagaland,$1B to $10B,Active,2020,Series B,Hospitality,1,Ekaja Sen,251-500,0,Growing,$50M to $100M,Medium,Low,568881,734.7825111627717,1074.8204192780202,8,1358
Saxena Ltd Technologies,Auto Components,Himachal Pradesh,$1B to $10B,Active,2024,Series A,Automotive,2,"Jagat Swaminathan, Jatin Keer",51-100,3,M&A,$0 to $1M,Medium,Low,940989,1027.3661969428522,3552.67565162207,10,1089
Barman LLC Technologies,Cement,Assam,$10B+,Active,2020,Series A,Construction,1,Reyansh Murty,1001-5000,0,Growing,$0 to $1M,High,High,1033115,1700.5129303593387,8929.528049651175,3,1599
